date,disease,references,notes,Metric_Type,Source_File,number of patients
01-2006,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1",11696280.84
01-2006,Hospital employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1",45501727.6
01-2006,Hospitals,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1",89480.95
01-2006,Share of population who are obese,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",1359.5
01-2006,Share of population who are overweight,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",2033.7
01-2006,Share of population who are overweight or obese,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",2968.4
01-2007,Alcohol consumption,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0",454.5
01-2007,Annual income,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1",101947669.13
01-2007,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1",11692309.15
01-2007,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1",1053441.83
01-2007,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1",378899.0
01-2007,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_NURSE,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_NURSE,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_NURSE,1.1",40701809.56
01-2007,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PHST,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PHST,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PHST,1.1",1208165.58
01-2007,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PSIO,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PSIO,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PSIO,1.1",603816.44
01-2007,Hospital employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1",46606116.83
01-2007,Hospitals,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1",90967.18
01-2007,Share of population who are obese,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",1333.6
01-2007,Share of population who are overweight,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",1913.0
